TDS,Ammonia
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
594,0.1319
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
564,0.0442
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
652,0.0507
