x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
-0.465412,0.00664671,-0.287488,0.0710918,-0.182525,0.0829211,0.345269,0.0494326,0.380977,0.0507885,0.372568,-0.0332356,0.330108,-0.0357656,-0.00557225,-0.0780148,-0.198635,-0.0661651,-0.289289,-0.0476996
-0.485235,-7.97E-05,-0.265216,0.0772531,-0.184661,0.0925236,0.344322,0.0507978,0.378716,0.0515876,0.37525,-0.0369042,0.323557,-0.0397472,-0.00931691,-0.0711756,-0.199769,-0.0667468,-0.277647,-0.0575086
-0.455255,0.00340682,-0.310486,0.0719033,-0.182768,0.0883427,0.344862,0.0485369,0.381019,0.0475323,0.368257,-0.0366263,0.332402,-0.0395802,0.00411116,-0.0662623,-0.193355,-0.0673579,-0.288787,-0.0498952
-0.47734,0.0220144,-0.288461,0.06785,-0.17975,0.0753002,0.342858,0.0515919,0.381511,0.048547,0.367233,-0.0321536,0.325796,-0.0332312,0.0110369,-0.0751754,-0.194709,-0.0693098,-0.288175,-0.0554334
-0.493087,-0.0043712,-0.298591,0.0746709,-0.140263,0.0897489,0.338986,0.0480293,0.375063,0.0498475,0.369388,-0.0373689,0.322858,-0.0419811,0.00230819,-0.0588902,-0.183986,-0.0630112,-0.292676,-0.056674
-0.466725,0.0107404,-0.310426,0.0661766,-0.17468,0.0774534,0.346784,0.0451059,0.382937,0.0458191,0.362692,-0.0356316,0.329664,-0.0357755,0.0108944,-0.0560985,-0.190459,-0.0618032,-0.290682,-0.0559865
-0.462411,0.0158211,-0.282962,0.0757524,-0.186592,0.0857513,0.344433,0.0531582,0.384539,0.0529166,0.371091,-0.0327235,0.321244,-0.0351123,0.00330317,-0.084274,-0.195282,-0.0782793,-0.297364,-0.0530103
-0.4739,0.00949084,-0.299345,0.0692782,-0.137258,0.0705261,0.350552,0.0504424,0.382288,0.0490144,0.351529,-0.032859,0.325154,-0.0336389,0.0191919,-0.0606322,-0.205044,-0.0664664,-0.313168,-0.0551554
-0.487284,-0.00275149,-0.274965,0.0598401,-0.182565,0.096296,0.348498,0.0491731,0.380855,0.052166,0.371223,-0.0397196,0.322757,-0.0418928,-0.00709573,-0.0655387,-0.200155,-0.0572411,-0.271268,-0.0503314
-0.482567,-0.00843552,-0.288159,0.0673572,-0.176136,0.090451,0.349032,0.0448972,0.371064,0.0447208,0.366438,-0.0372481,0.331612,-0.0404259,0.00671002,-0.057607,-0.181981,-0.0533432,-0.296013,-0.0503666
-0.488255,0.0294099,-0.269623,0.071756,-0.180138,0.0731784,0.338919,0.0517844,0.368301,0.0559664,0.376845,-0.0314823,0.330213,-0.0363578,0.00482043,-0.0797579,-0.194834,-0.0732871,-0.286248,-0.0612098
-0.471097,0.000274189,-0.265657,0.0733189,-0.181534,0.0834352,0.33867,0.045454,0.376828,0.0486965,0.3834,-0.0338501,0.325994,-0.0362777,0.000408688,-0.0622305,-0.199522,-0.0642105,-0.307492,-0.0546099
-0.481708,-0.00154403,-0.261103,0.0815678,-0.177115,0.0827907,0.342004,0.0472503,0.377676,0.0497582,0.370214,-0.0322291,0.325611,-0.0343141,0.0071161,-0.0736567,-0.196106,-0.0699427,-0.306591,-0.0496804
-0.492625,-0.0117943,-0.280121,0.0797283,-0.185139,0.0910943,0.343322,0.0451552,0.386155,0.0439934,0.366722,-0.0394929,0.318946,-0.0360493,0.00537795,-0.0611706,-0.194474,-0.0599879,-0.268164,-0.0514762
-0.492334,-0.00917233,-0.269087,0.0782954,-0.114784,0.0794688,0.337104,0.0486302,0.374966,0.0493218,0.372114,-0.0326279,0.321458,-0.0334614,-0.00198946,-0.0594273,-0.206997,-0.0666551,-0.320449,-0.0543723
-0.484063,-0.00343331,-0.268491,0.0790713,-0.177029,0.0933326,0.345674,0.052373,0.378963,0.0493534,0.368726,-0.036275,0.317519,-0.0392253,0.00943763,-0.0728859,-0.190816,-0.0690264,-0.29992,-0.0532845
-0.50207,0.0148407,-0.269083,0.0809234,-0.180214,0.0882418,0.341659,0.0508971,0.376825,0.0454838,0.367932,-0.0351694,0.320961,-0.031754,0.00547546,-0.0692044,-0.194475,-0.0800963,-0.26701,-0.0641626
-0.480263,9.74E-05,-0.274667,0.0748304,-0.192547,0.0869945,0.340544,0.0457585,0.377703,0.0477362,0.374354,-0.0340029,0.331831,-0.0384425,0.000805111,-0.0683002,-0.20452,-0.0621475,-0.27324,-0.0525239
-0.489052,-0.00154237,-0.274353,0.0779437,-0.180219,0.0892087,0.341452,0.0500674,0.380945,0.0466229,0.37179,-0.0375361,0.319415,-0.0359434,0.00542351,-0.0693889,-0.189553,-0.066235,-0.285848,-0.053197
-0.49181,0.0118846,-0.277818,0.0814657,-0.174068,0.0866349,0.342962,0.0485619,0.376312,0.0436835,0.357933,-0.0323297,0.327685,-0.0304061,0.0172659,-0.0703908,-0.185372,-0.0795937,-0.293089,-0.0595104
-0.472643,0.00732067,-0.296924,0.0746115,-0.176089,0.0827628,0.346854,0.0481485,0.37103,0.0492462,0.37101,-0.0366614,0.331268,-0.0362611,0.00663913,-0.068474,-0.194246,-0.0689535,-0.286899,-0.0517395
-0.483338,-0.003827,-0.278483,0.0837345,-0.169766,0.0939835,0.339662,0.047808,0.379306,0.0506046,0.362619,-0.0344091,0.320167,-0.0366752,0.0256275,-0.0804204,-0.192598,-0.0671686,-0.303197,-0.0536303
-0.488249,0.0135042,-0.270925,0.073449,-0.167917,0.0795169,0.336136,0.047473,0.368046,0.0488965,0.372244,-0.0330101,0.327494,-0.0299772,0.0251563,-0.0767958,-0.19153,-0.0666204,-0.310455,-0.0564362
-0.486614,0.0399273,-0.268423,0.06061,-0.175274,0.0640063,0.339752,0.051559,0.387101,0.0545419,0.373777,-0.0325644,0.315279,-0.0314423,0.00616541,-0.0619131,-0.203136,-0.0789285,-0.288626,-0.0657961
-0.465987,0.0168845,-0.296375,0.0677292,-0.187261,0.0688958,0.342863,0.0472683,0.380015,0.0512586,0.374863,-0.0341057,0.326706,-0.0355551,0.0119161,-0.0701667,-0.199167,-0.0628697,-0.287573,-0.0493393
-0.466056,-0.00128722,-0.291799,0.0665777,-0.18467,0.0788814,0.339301,0.0431277,0.381663,0.0435143,0.380731,-0.0384628,0.321825,-0.0336222,0.0139272,-0.0539559,-0.192165,-0.0554416,-0.302759,-0.0493315
-0.46843,0.00398591,-0.285763,0.0792922,-0.182471,0.0829038,0.3336,0.0450192,0.371731,0.0481804,0.383712,-0.030175,0.334268,-0.037113,0.00470894,-0.0760332,-0.200838,-0.0646085,-0.290519,-0.0514517
-0.467256,0.0101166,-0.28298,0.0726105,-0.184075,0.0779561,0.341082,0.0495467,0.376192,0.0481353,0.369819,-0.0328775,0.331864,-0.0374433,0.0180375,-0.0688746,-0.198288,-0.0666976,-0.304396,-0.0524722
-0.464398,0.00437437,-0.273536,0.0756617,-0.184903,0.0777403,0.344526,0.0479098,0.375128,0.0474114,0.383267,-0.0320402,0.321922,-0.0377867,0.00864908,-0.0627458,-0.205971,-0.0657457,-0.304685,-0.0547792
-0.469958,0.0131067,-0.276206,0.0754645,-0.164919,0.0818388,0.341297,0.0531891,0.381637,0.052887,0.364805,-0.0299771,0.322394,-0.0341392,0.0196164,-0.0853093,-0.205451,-0.0734496,-0.313216,-0.053611
-0.483784,0.0374422,-0.257781,0.0623594,-0.174319,0.0638651,0.338261,0.0530916,0.378851,0.0492093,0.380747,-0.0254745,0.320793,-0.0300766,0.0014905,-0.0693992,-0.202109,-0.08106,-0.30215,-0.0599573
-0.48602,0.00656568,-0.27793,0.072663,-0.174074,0.0785767,0.333401,0.0473799,0.37913,0.0496209,0.375208,-0.0332787,0.3146,-0.039555,0.0374394,-0.066069,-0.204544,-0.0631851,-0.297211,-0.0527183
-0.469391,0.013901,-0.278001,0.0747405,-0.175204,0.0770661,0.337982,0.0492714,0.379846,0.0531372,0.379874,-0.0295048,0.321192,-0.0360957,0.00802865,-0.0772216,-0.201536,-0.0765994,-0.30279,-0.0486947
-0.465958,0.0109263,-0.289364,0.0662089,-0.166265,0.0844598,0.344297,0.048607,0.373275,0.0498242,0.370627,-0.0336352,0.328245,-0.0375068,0.0124281,-0.0653288,-0.187504,-0.0657502,-0.319782,-0.0578054
-0.480986,0.00840392,-0.288471,0.0801715,-0.172387,0.0895814,0.336564,0.0513753,0.371655,0.0497775,0.367889,-0.0385585,0.328293,-0.0377441,0.0273486,-0.0691841,-0.200845,-0.0783789,-0.28906,-0.0554439
-0.475011,-0.0151597,-0.291912,0.080282,-0.168123,0.0893775,0.336103,0.0455983,0.377157,0.0474366,0.382743,-0.0442487,0.320796,-0.0433177,0.00205923,-0.0431669,-0.179996,-0.0635149,-0.303817,-0.0532865
-0.458226,-0.00372251,-0.310729,0.070252,-0.193543,0.0920699,0.353254,0.0473941,0.381922,0.0436251,0.358294,-0.040551,0.328442,-0.0404087,0.0157277,-0.0564682,-0.18481,-0.0626828,-0.290332,-0.0495079
-0.517466,0.0172459,-0.211475,0.0789225,-0.185124,0.0811112,0.337901,0.0542224,0.368316,0.054299,0.369228,-0.0326566,0.321066,-0.0368528,0.0139886,-0.0712812,-0.206585,-0.0792304,-0.28985,-0.0657801
-0.505908,0.0288973,-0.218458,0.0760369,-0.189391,0.0774455,0.339531,0.0524802,0.366094,0.0536031,0.371274,-0.030074,0.328185,-0.032932,0.00774699,-0.0700006,-0.207145,-0.0877934,-0.291928,-0.0676631
-0.513062,-0.00315248,-0.236694,0.0856133,-0.188677,0.0894367,0.338527,0.047731,0.371967,0.049702,0.377774,-0.0337671,0.316704,-0.041697,0.00169525,-0.0655614,-0.189202,-0.067014,-0.279031,-0.0612911
-0.495436,0.0177126,-0.269174,0.078748,-0.17234,0.0817666,0.338669,0.0516318,0.371731,0.0531423,0.374181,-0.0331526,0.319585,-0.036534,0.0156367,-0.0759991,-0.196823,-0.0795032,-0.28603,-0.0578122
-0.499122,-0.00107798,-0.21726,0.0885889,-0.191073,0.0912431,0.338588,0.0500788,0.366656,0.0538297,0.377129,-0.0338946,0.333108,-0.0364301,-0.0140273,-0.0758547,-0.205591,-0.076401,-0.288409,-0.0600821
-0.490708,0.0374675,-0.232789,0.0714486,-0.190436,0.0718023,0.338339,0.0522891,0.367489,0.0575579,0.377762,-0.0263502,0.330464,-0.0363173,0.00126824,-0.0744832,-0.204177,-0.0879248,-0.297213,-0.0654899
-0.496965,0.00834719,-0.228069,0.0829398,-0.196773,0.0845951,0.344409,0.0530439,0.37837,0.0517844,0.368791,-0.034323,0.317842,-0.0376495,0.00558142,-0.0694863,-0.196263,-0.074304,-0.296926,-0.0649475
-0.480993,0.00188874,-0.257921,0.0792167,-0.194743,0.0904042,0.329412,0.0492224,0.380149,0.0524846,0.38377,-0.0414394,0.329173,-0.0371962,-0.00455627,-0.0667407,-0.204467,-0.0690912,-0.279823,-0.0587493
-0.488403,0.00532023,-0.262439,0.0783909,-0.188921,0.0857901,0.343248,0.0468811,0.370452,0.0498974,0.374346,-0.0395087,0.332639,-0.0387037,-0.00407817,-0.0516366,-0.193667,-0.0750418,-0.283177,-0.061389
-0.515136,0.0147613,-0.222734,0.0806754,-0.185257,0.0825275,0.34034,0.0534359,0.369321,0.0553827,0.357345,-0.0355281,0.320331,-0.036328,0.0373268,-0.07373,-0.209646,-0.0800169,-0.29189,-0.0611799
-0.504488,0.0357109,-0.222809,0.0724515,-0.178131,0.0736892,0.340532,0.0556413,0.370115,0.0607157,0.364719,-0.033265,0.32503,-0.0326299,0.0135304,-0.0747167,-0.210254,-0.0901402,-0.298244,-0.0674568
-0.490566,0.0294247,-0.251548,0.0716052,-0.170897,0.0766656,0.338122,0.0513221,0.376841,0.0540389,0.37383,-0.0302054,0.315242,-0.0293825,0.0163063,-0.0761284,-0.197464,-0.0853893,-0.309865,-0.0619509
-0.484019,0.00856699,-0.281008,0.0739622,-0.176465,0.0808297,0.339779,0.0474437,0.380193,0.0473304,0.370516,-0.0375047,0.325546,-0.0361991,0.0113229,-0.0546926,-0.201216,-0.0685315,-0.284651,-0.061205
-0.484791,0.0448873,-0.240277,0.0635469,-0.171964,0.0634485,0.338858,0.0576151,0.374153,0.0599436,0.375548,-0.0282155,0.324976,-0.0294065,0.00301096,-0.0854192,-0.212827,-0.0828367,-0.306688,-0.0635635
-0.48186,-0.00650559,-0.28586,0.0837423,-0.186,0.0932699,0.342182,0.0480325,0.372153,0.0490818,0.372035,-0.0393148,0.328365,-0.0418518,0.00876551,-0.0691229,-0.191367,-0.0629296,-0.278414,-0.0544017
-0.480099,0.00181276,-0.280866,0.0790735,-0.174455,0.0883966,0.342337,0.0496616,0.375632,0.051976,0.374554,-0.0361719,0.325888,-0.0405063,-0.00366687,-0.0704129,-0.186547,-0.067103,-0.292777,-0.0567265
-0.505069,0.0464093,-0.278711,0.0670786,-0.132306,0.0673731,0.334607,0.0541173,0.37772,0.0581361,0.360716,-0.0286098,0.323448,-0.0309761,0.00907365,-0.0734946,-0.206911,-0.0879513,-0.282568,-0.0720827
-0.48059,-0.0137678,-0.297799,0.0905492,-0.179145,0.103654,0.340643,0.0505224,0.384861,0.0538966,0.359172,-0.042544,0.320562,-0.0445887,0.0139409,-0.0791872,-0.187611,-0.0683612,-0.274033,-0.0501729
-0.507024,0.00593209,-0.261972,0.0798759,-0.174529,0.0822747,0.339473,0.0460198,0.370331,0.0462615,0.36625,-0.0322513,0.328615,-0.0322096,0.0122848,-0.0717367,-0.188489,-0.068397,-0.284938,-0.0557694
-0.469353,-0.00658908,-0.265574,0.0817216,-0.1838,0.0928897,0.342219,0.0508798,0.384067,0.0518345,0.367883,-0.0378356,0.329653,-0.0355628,-0.0077856,-0.0776409,-0.192404,-0.0699679,-0.304905,-0.0497293
-0.488495,0.0296955,-0.283127,0.0766604,-0.165298,0.0843046,0.335844,0.0524609,0.361087,0.0565621,0.362328,-0.0379542,0.330811,-0.0344583,0.0371496,-0.077829,-0.18012,-0.0868282,-0.310179,-0.0626138
-0.470561,-0.0236199,-0.286902,0.0832566,-0.150281,0.103276,0.339441,0.0464347,0.378656,0.0479532,0.373588,-0.0395215,0.317218,-0.0417351,0.00559413,-0.0589809,-0.182022,-0.0616905,-0.324731,-0.0553721
-0.474859,0.00562222,-0.287117,0.0771431,-0.186366,0.09381,0.344601,0.0486641,0.387363,0.0540181,0.367615,-0.0434227,0.318459,-0.0406035,-4.08E-05,-0.0581126,-0.183395,-0.0720547,-0.28626,-0.0650639
-0.496621,0.00498653,-0.267731,0.0814105,-0.181393,0.084148,0.340563,0.0506032,0.382418,0.0518434,0.364364,-0.0375062,0.322021,-0.0373144,0.007922,-0.0712565,-0.192061,-0.0714143,-0.279482,-0.0555002
-0.472519,0.0160228,-0.298087,0.0734504,-0.18391,0.06614,0.331807,0.046034,0.388603,0.0521601,0.378133,-0.0402435,0.316717,-0.035439,0.0183062,-0.057386,-0.184117,-0.0674765,-0.294933,-0.0532624
